,name,path,emotion,iloc
0,face_7059.jpg,data/output/pic/face-from-3.6.1/face_7059.jpg,3,7059
1,face_26452.jpg,data/output/pic/face-from-3.6.1/face_26452.jpg,5,26452
2,face_31551.jpg,data/output/pic/face-from-3.6.1/face_31551.jpg,3,31551
3,face_1481.jpg,data/output/pic/face-from-3.6.1/face_1481.jpg,4,1481
4,face_20543.jpg,data/output/pic/face-from-3.6.1/face_20543.jpg,3,20543
5,face_11470.jpg,data/output/pic/face-from-3.6.1/face_11470.jpg,3,11470
6,face_31366.jpg,data/output/pic/face-from-3.6.1/face_31366.jpg,3,31366
7,face_34745.jpg,data/output/pic/face-from-3.6.1/face_34745.jpg,0,34745
8,face_18162.jpg,data/output/pic/face-from-3.6.1/face_18162.jpg,6,18162
9,face_16496.jpg,data/output/pic/face-from-3.6.1/face_16496.jpg,3,16496
10,face_3020.jpg,data/output/pic/face-from-3.6.1/face_3020.jpg,5,3020
11,face_3639.jpg,data/output/pic/face-from-3.6.1/face_3639.jpg,3,3639
12,face_16699.jpg,data/output/pic/face-from-3.6.1/face_16699.jpg,3,16699
13,face_30927.jpg,data/output/pic/face-from-3.6.1/face_30927.jpg,4,30927
14,face_27048.jpg,data/output/pic/face-from-3.6.1/face_27048.jpg,3,27048
15,face_32160.jpg,data/output/pic/face-from-3.6.1/face_32160.jpg,3,32160
16,face_22599.jpg,data/output/pic/face-from-3.6.1/face_22599.jpg,4,22599
17,face_1121.jpg,data/output/pic/face-from-3.6.1/face_1121.jpg,3,1121
18,face_7298.jpg,data/output/pic/face-from-3.6.1/face_7298.jpg,3,7298
19,face_3122.jpg,data/output/pic/face-from-3.6.1/face_3122.jpg,3,3122
20,face_27606.jpg,data/output/pic/face-from-3.6.1/face_27606.jpg,3,27606
21,face_34343.jpg,data/output/pic/face-from-3.6.1/face_34343.jpg,6,34343
22,face_33829.jpg,data/output/pic/face-from-3.6.1/face_33829.jpg,0,33829
23,face_25814.jpg,data/output/pic/face-from-3.6.1/face_25814.jpg,6,25814
24,face_34888.jpg,data/output/pic/face-from-3.6.1/face_34888.jpg,3,34888
25,face_18367.jpg,data/output/pic/face-from-3.6.1/face_18367.jpg,4,18367
26,face_17518.jpg,data/output/pic/face-from-3.6.1/face_17518.jpg,4,17518
27,face_19057.jpg,data/output/pic/face-from-3.6.1/face_19057.jpg,2,19057
28,face_27956.jpg,data/output/pic/face-from-3.6.1/face_27956.jpg,4,27956
29,face_10870.jpg,data/output/pic/face-from-3.6.1/face_10870.jpg,3,10870
30,face_1298.jpg,data/output/pic/face-from-3.6.1/face_1298.jpg,4,1298
31,face_7953.jpg,data/output/pic/face-from-3.6.1/face_7953.jpg,6,7953
32,face_30005.jpg,data/output/pic/face-from-3.6.1/face_30005.jpg,5,30005
33,face_4336.jpg,data/output/pic/face-from-3.6.1/face_4336.jpg,0,4336
34,face_24270.jpg,data/output/pic/face-from-3.6.1/face_24270.jpg,4,24270
35,face_8564.jpg,data/output/pic/face-from-3.6.1/face_8564.jpg,3,8564
36,face_28599.jpg,data/output/pic/face-from-3.6.1/face_28599.jpg,6,28599
37,face_22502.jpg,data/output/pic/face-from-3.6.1/face_22502.jpg,2,22502
38,face_35301.jpg,data/output/pic/face-from-3.6.1/face_35301.jpg,3,35301
39,face_11263.jpg,data/output/pic/face-from-3.6.1/face_11263.jpg,6,11263
40,face_22719.jpg,data/output/pic/face-from-3.6.1/face_22719.jpg,6,22719
41,face_7046.jpg,data/output/pic/face-from-3.6.1/face_7046.jpg,0,7046
42,face_10536.jpg,data/output/pic/face-from-3.6.1/face_10536.jpg,6,10536
43,face_28743.jpg,data/output/pic/face-from-3.6.1/face_28743.jpg,0,28743
44,face_8641.jpg,data/output/pic/face-from-3.6.1/face_8641.jpg,3,8641
45,face_20359.jpg,data/output/pic/face-from-3.6.1/face_20359.jpg,6,20359
