Mean,Median,Mode,STD,Variance,Quantile1,Quantile2,target
113.24479166666667,114.0,60.0,45.88511250135661,2105.443549262153,68.0,153.0,0
158.62065972222223,149.0,241.0,71.32487067876495,5087.237177342544,88.0,238.0,0
160.90451388888889,161.0,255.0,55.43119715930458,3072.617618513696,118.75,198.25,0
91.31770833333333,74.5,38.0,64.10008530739199,4108.820936414931,39.0,141.5,0
59.78993055555556,53.0,28.0,34.36862520681164,1181.2023986062886,34.0,76.0,0
156.95572916666666,172.0,191.0,46.95508660570089,2204.7801581488716,121.0,191.0,0
114.95833333333333,117.0,133.0,47.575433524036335,2263.421875,74.0,151.0,0
91.09027777777777,96.0,30.0,39.61501595117347,1569.3494888117284,56.0,122.0,0
112.89496527777777,98.0,255.0,52.02455258696411,2706.5540718737943,81.0,125.0,0
204.16145833333334,205.0,255.0,38.67600426888224,1495.8333062065972,184.0,235.0,0
112.83680555555556,106.0,87.0,61.452509042131894,3776.4108675733023,62.0,166.0,0
117.68836805555556,122.0,169.0,44.12695860592456,1947.188475808979,82.0,155.0,0
158.38368055555554,156.5,255.0,68.9809404860676,4758.370150342399,100.75,222.0,0
177.76302083333334,182.0,255.0,55.49498151021415,3079.6929728190107,143.0,201.25,0
73.5625,63.0,0.0,47.093615212149516,2217.80859375,36.0,111.0,0
159.08680555555554,160.0,151.0,40.39822731693904,1632.0167703510801,144.0,183.25,0
123.25520833333333,136.0,161.0,44.23103572701384,1956.384521484375,81.75,161.0,0
74.58854166666667,80.0,11.0,50.85685050911624,2586.419243706597,13.0,120.0,0
140.42361111111111,150.0,170.0,39.29987628286844,1544.4802758487654,117.0,170.0,0
109.44184027777777,122.0,162.0,52.20406093933519,2725.263978557822,55.0,158.0,0
104.07204861111111,103.0,84.0,43.870934244641255,1924.6588714976367,73.0,134.0,0
173.40625,176.0,222.0,54.985587402960526,3023.4148220486113,153.0,219.0,0
95.40364583333333,54.0,33.0,72.54922481619029,5263.390021430121,30.0,169.0,0
117.13888888888889,105.0,92.0,45.919745981305844,2108.6230709876545,82.0,153.0,0
77.78819444444444,68.0,31.0,51.158847796359524,2617.2277078510797,32.0,121.0,0
110.38802083333333,94.0,85.0,49.96758979689412,2496.7600301106772,80.75,124.0,0
71.81423611111111,56.0,16.0,50.393678010681576,2539.5227834442517,30.75,106.0,0
83.140625,85.0,83.0,21.602413114908085,466.66425238715277,71.0,99.0,0
151.17013888888889,161.0,175.0,45.12404443411319,2036.1793860918212,125.0,179.0,0
70.84895833333333,66.0,46.0,35.165354916663794,1236.6021864149307,47.0,90.0,0
101.67274305555556,108.0,144.0,37.85298709559101,1432.8486320589795,71.0,135.0,0
126.05555555555556,141.0,222.0,73.7417982989161,5437.852816358024,50.0,187.0,0
120.64583333333333,123.0,177.0,45.87052941432004,2104.10546875,84.0,161.0,0
74.22829861111111,68.0,70.0,31.042602858719253,963.6431922441648,52.0,95.0,0
