Mean,Median,Mode,STD,Variance,Quantile1,Quantile2,target
117.59288194444444,123.0,61.0,50.735356925805114,2574.076442388841,65.0,162.0,0
172.60546875,195.0,241.0,67.16703619591067,4511.410751342773,103.0,237.0,0
154.26128472222223,154.0,255.0,60.883586216415594,3706.811070571711,104.0,201.0,0
122.21397569444444,110.0,244.0,78.24018594712743,6121.526697041076,48.0,196.0,0
69.70052083333333,55.0,36.0,43.898939730373385,1927.1169094509548,37.0,88.0,0
140.99869791666666,148.0,191.0,51.10775057115572,2612.002168443468,104.0,185.0,0
124.81987847222223,127.0,141.0,51.77783005020057,2680.943684707453,79.0,168.0,0
93.91276041666667,95.0,30.0,49.39165271586991,2439.5353580050996,49.0,132.0,0
125.77126736111111,120.0,255.0,56.213516169422334,3159.9594001299065,86.0,144.0,0
184.44184027777777,197.0,255.0,56.6390948800879,3207.9870688356,158.0,218.0,0
114.91579861111111,108.0,34.0,63.16890547143779,3990.3106184594426,58.0,170.0,0
133.81597222222223,141.0,168.0,49.71385120700831,2471.4670018325614,93.0,174.0,0
165.35850694444446,165.0,255.0,66.23243305245974,4386.735188048562,112.0,225.0,0
171.54036458333334,180.0,255.0,46.64716038612963,2175.9575720893013,146.0,191.0,0
87.54079861111111,76.0,36.0,60.94986756594853,3714.8863563066648,36.0,126.0,0
158.00998263888889,160.0,160.0,42.94283572297309,1844.0871399302544,136.0,190.0,0
122.29904513888889,129.0,153.0,41.09469373599111,1688.773853254907,89.0,154.0,0
100.99045138888889,102.0,11.0,65.03330406792118,4229.330637990693,48.0,148.0,0
144.03125,155.0,170.0,51.406382978551406,2642.6162109375,115.0,181.0,0
106.26128472222223,107.0,162.0,50.46074479252318,2546.286765016155,58.0,154.0,0
107.48741319444444,103.0,255.0,54.87287088924619,3011.0319596278814,66.0,141.0,0
167.71397569444446,175.0,173.0,47.96107774321878,2300.2649782910757,147.0,197.0,0
123.58680555555556,152.0,184.0,70.26842951865189,4937.652187017748,45.0,180.0,0
127.61241319444444,124.0,92.0,51.85874446188033,2689.3293771626036,85.0,172.0,0
72.84852430555556,62.0,16.0,50.09007569954566,2509.0156835862144,29.0,115.0,0
119.00607638888889,116.0,254.0,50.329193723477,2533.027740855276,85.0,139.0,0
93.59852430555556,79.0,16.0,62.45844325020432,3901.057133238993,37.0,153.0,0
82.19401041666667,87.0,94.0,26.88005667337367,722.5374467637804,64.0,101.0,0
129.50043402777777,135.0,171.0,50.131138788187414,2513.1310762005087,96.0,169.0,0
68.67404513888889,66.0,69.0,32.34195149253033,1046.0018263451848,48.0,86.0,0
120.07118055555556,127.0,142.0,40.618494812443636,1649.8621208285108,91.0,149.0,0
127.61371527777777,145.0,221.0,75.4538415703567,5693.282207724489,53.0,194.0,0
116.93446180555556,119.0,178.0,51.58315286608778,2660.82165960618,72.0,164.0,0
71.32204861111111,67.0,45.0,33.44897284958211,1118.8337846920813,46.0,92.0,0
115.77300347222223,108.0,93.0,56.61663799865567,3205.443698270821,71.0,162.0,0
172.35546875,173.0,255.0,49.68686613455642,2468.784666273329,142.0,209.0,0
147.30815972222223,158.0,254.0,64.3891206418448,4145.958857030044,106.0,187.0,0
135.48263888888889,139.0,207.0,53.23046437408479,2833.48233748071,96.75,179.0,0
169.82552083333334,177.0,255.0,71.1159248365212,5057.474765353732,115.0,252.0,0
117.55164930555556,124.0,150.0,50.565241881315096,2556.8436865159024,78.0,153.0,0
19.451822916666668,11.0,0.0,20.536411730056912,421.7442067464192,2.0,34.0,0
117.34722222222223,127.0,134.0,49.07982364990906,2408.8290895061727,85.0,156.0,0
90.34027777777777,78.0,72.0,35.89335587202975,1288.3329957561727,70.0,105.0,0
131.38454861111111,128.0,246.0,57.16803057293398,3268.1837195879143,93.0,161.0,0
138.12109375,148.0,181.0,59.95729533081895,3594.8772633870444,103.0,179.0,0
138.08333333333334,152.0,252.0,93.59371695881443,8759.783854166666,37.75,232.0,0
91.97829861111111,87.0,97.0,36.14052503607348,1306.1375498830537,65.0,112.0,0
126.37239583333333,142.0,0.0,62.98243142786358,3966.786668565538,83.75,176.0,0
71.10677083333333,56.0,2.0,68.72339679218291,4722.905266655816,3.0,130.0,0
206.04817708333334,235.0,247.0,67.02047278793728,4491.743772718642,200.0,247.0,0
109.07291666666667,124.0,1.0,53.60652585007984,2873.659613715278,71.0,150.0,0
